2.7.7.15-RXN,0
RXN-17913,0
RXN-12504,0
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN,0
RXN-19245,0
RXNQT-4141,0
DEPHOSPHOCOAKIN-RXN,0
RXNQT-4301,0
URIDINE-NUCLEOSIDASE-RXN,0
RXN-17858,0
RXN-17891,0
RXN-7184,0
RXN-8040,0
RXNQT-4167,0
GMP-SYN-NH3-RXN,0
GUANPRIBOSYLTRAN-RXN,0
UGD-RXN,0
UROPORIIIMETHYLTRANSA-RXN,0
RXN-17874,0
RXN-20641,0
RXN-12462,0
R15-RXN,0
RXN-12940,0
RXN0-3182,0
AMINEOXID-RXN,0
RXN-8022,1
RXN-13945,0
RXN-16391,0
RXN-19677,0
UDP-GLUCURONATE-DECARBOXYLASE-RXN,0
RXN-8999,0
URATE-OXIDASE-RXN,0
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN,0
RXN-17850,0
AMINOCYL-TRNA-HYDROLASE-RXN,0
RXN6666-4,0
RXN-16870,0
RXN-11933,0
METHYLCROTONYL-COA-CARBOXYLASE-RXN,0
RXN-12454,0
12-OXOPHYTODIENOATE-REDUCTASE-RXN,0
1.1.1.39-RXN,1
RXN-20616,0
PYRIMSYN1-RXN,0
3.5.1.26-RXN,0
RXN0-7115,0
RXN-7904,0
1.3.99.5-RXN,0
GLUTKIN-RXN,1
PROTOPORGENOXI-RXN,1.000000e+00
RXN-9989,0
CYCLOARTENOL-SYNTHASE-RXN,0
RXN-11428,0
PRAISOM-RXN,1
PROPIONATE-COA-TRANSFERASE-RXN,1
AICARSYN-RXN,1
RXN0-7007,0
THREDEHYD-RXN,0
RXN-5481,0
RXN-13305,0
RXN-5962,0
RXN-7812,0
+-NEOMENTHOL-DEHYDROGENASE-RXN,0
RXN-12295,0
RXN-9386,0
RXN-15714,0
RXN-14236,0
RXN-11377,0
PHOSPHORIBULOKINASE-RXN,1
ACETOLACTATE-DECARBOXYLASE-RXN,0
RXN-10888,0
RXN-5464,0
RXN-10912,0
RXN-17630,0
RXN-20478,0
RXN-19010,0
RXN-14196,1
RXN-11341,0
RXN-8367,0
RXN-9315,0
RXN3O-9783,0
RXN0-5510,0
6.3.5.7-RXN,0
RXN4FS-12,0
KDO-8PSYNTH-RXN,0
L-ARABINOKINASE-RXN,0
RXN-12226,0
OXALYL-COA-DECARBOXYLASE-RXN,0
RXN-15556,0
RXN0-6366,0
RXN-19369,0
PANTOATE-BETA-ALANINE-LIG-RXN,0
RXN-9233,0
RXN-12694,0
RXN-18481,0
RXN-7664,0
OXALATE--COA-LIGASE-RXN,0
RXN-16510,0
SAICARSYN-RXN,1
HYPOXANPRIBOSYLTRAN-RXN,0
ORNDECARBOX-RXN,0
4.4.1.25-RXN,0
HYDROXYMANDELONITRILE-LYASE-RXN,0
RXN-12616,0
R524-RXN,0
RXN-16036,0
RXN1G-1437,0
S-ADENMETSYN-RXN,1.000000e+00
RXN-20241,0
RXN-20745,0
RXN-10696,0
RXN0-5141,0
RXN-16484,0
RXN-7569,0
DIHYDROXYMETVALDEHYDRAT-RXN,1.000000e+00
RXN-19766,0
RXN-11623,0
NAD-KIN-RXN,0
RXN-8631,0
NADPH-DEHYDROGENASE-FLAVIN-RXN,0
RXN-9598,0
RXNQT-4172,0
DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN,0
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN,0
RXN-20215,0
RXN-17879,0
2.7.8.15-RXN,0
RXN-12532,0
RXN-16902,0
RXN-19684,0
GTPPYPHOSKIN-RXN,0
RXN-12039,0
RXN-17888,0
AMINOPROPDEHYDROG-RXN,0
RXNQT-4164,0
UROGENIIISYN-RXN,1.000000e+00
RXN-12459,0
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN,0
RXN-17871,0
RXN-15354,0
RXN0-308,0
RXN-16890,0
UDP-GLUCOSE-46-DEHYDRATASE-RXN,0
RXN-8990,0
RXN-14431,0
RXN-20622,0
RXN-6642,0
RXN-18740,0
RXN-11974,0
RXN-2762,0
RXN0-1441,0
RXN66-496,0
RXN-16313,0
RXN66-555,0
TRNA-URACIL-5--METHYLTRANSFERASE-RXN,0
RXN-11938,0
RXN-20613,0
RXN-13892,0
CYTIDEAM-RXN,0
RXN0-7319,0
RXN-16824,0
RXN-14790,0
RXN-12376,0
RXN-20597,0
RXN-2561,0
3.5.1.88-RXN,0
RXN-16271,0
GLURS-RXN,1.000000e+00
GLUTCYSLIG-RXN,0
dRXN_TRIOSEPISOMERIZATION-RXN_CHLOROPLAST,1
RXN-20554,0
RXN-11401,0
CYSTEINE--TRNA-LIGASE-RXN,0
THYMIDYLATESYN-RXN,1
GLUTAMATE-SYNTHASE-NADH-RXN,1
RXN-17304,0
RXN-20562,0
RXN-9952,0
ADENODEAMIN-RXN,0
RXN-2203,0
AGMATINE-DEIMINASE-RXN,0
RXN-7885,0
RXN-8451,0
RXN-14301,0
PREPHENATEDEHYDRAT-RXN,1
RXN-5470,0
RXN-13302,0
LEUKOTRIENE-B4-20-MONOOXYGENASE-RXN,0
RXN-12292,0
RXN-9383,0
RXN-13284,0
ACYLCOASYN-RXN,0
RXN-19015,0
RXN-7820,0
RXN-17230,0
RXN-8847,0
RXN-5183,0
dRXN_CHORISMATEMUT-RXN_CHLOROPLAST,1
1.2.1.13-RXN,1
RXN-7799,0
RXN-11356,0
PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN,0
RXN-5284,0
2.4.1.133-RXN,0
6.3.4.11-RXN,0
RXN-7677,0
FGAMSYN-RXN,1
RXN3O-218,1
RXN-8295,1
RXN-20373,0
RXN0-6274,0
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN,0
STEROL-GLUCOSYLTRANSFERASE-RXN,0
RIBOFLAVINSYNDEAM-RXN,0
RIBOFLAVIN-SYN-RXN,0
RXN-18911,0
RXN-11664,0
RXN-14570,0
RXN-8286,0
2.3.1.42-RXN,0
OHACYL-COA-DEHYDROG-RXN,0
OROTPDECARB-RXN,1
RXN-16043,0
RXN-18919,0
dRXN_BRANCHED-CHAINAMINOTRANSFERVAL-RXN_CYTOPLASM,1
DUTP-PYROP-RXN,0
RXN-12126,0
3-DEHYDROSPHINGANINE-REDUCTASE-RXN,0
BETA-UREIDOPROPIONASE-RXN,0
HYDROXYLAMINE-REDUCTASE-RXN,0
SARCOX-RXN,0
ENOYL-COA-HYDRAT-RXN,0
RXN-12613,0
DIOHBUTANONEPSYN-RXN,0
RXN-14024,0
2.1.1.77-RXN,0
RXN-17915,0
RXN-17942,0
NICOTINAMID-RXN,0
RXN0-4281,0
RXN-15954,0
RXN-10701,0
RXN1F-151,1
RXN-11570,0
RXN-17893,0
2.7.9.5-RXN,0
RXN-15431,0
RXN0-382,0
RXN-16409,0
RXNQT-4169,0
2.1.1.100-RXN,0
DIHYDRODIPICSYN-RXN,1
URUR-RXN,0
RXN-17876,0
RXN-18333,1.000000e+00
RXNQT-4178,0
DIAMINOPIMEPIM-RXN,1
UREA-CARBOXYLASE-RXN,0
RXN-17852,0
RXN-14903,0
RXN-17884,0
R201-RXN,0
RXN-17868,0
MRNA-GUANYLYLTRANSFERASE-RXN,0
AMACETOXID-RXN,1
GPPSYN-RXN,1
RXN-9015,0
RXN-20618,0
2.7.1.151-RXN,0
RXN-20643,0
RXN-18710,0
RXN0-2661,0
RXN-6763,0
RXN-8024,1
DCDPKIN-RXN,1.000000e+00
RXN-11003,0
RXN0-882,1
GLUTRNAREDUCT-RXN,1.000000e+00
TYROSINE--TRNA-LIGASE-RXN,0
RXN-12394,0
PRPPSYN-RXN,1.000000e+00
TRYPTOPHAN--TRNA-LIGASE-RXN,0
RXN-12878,0
RXN-10971,0
GLUCURONOKINASE-RXN,0
MALTACETYLTRAN-RXN,0
RXN-18212,0
RXN-10979,0
RXN-19571,0
RXN-11839,0
GLUTAMATE-DEHYDROGENASE-RXN,1.000000e+00
RXN-11876,0
RXN-20559,0
ADCLY-RXN,0
RXN-5682,1
RXN-19363,0
